Ord,Date,Time,Flow,Hydro
198,12/17/1964,1:15,19712,Dec-1964
199,12/17/1964,1:30,19611,Dec-1964
200,12/17/1964,1:45,19510,Dec-1964
201,12/17/1964,2:00,19409,Dec-1964
202,12/17/1964,2:15,19307,Dec-1964
203,12/17/1964,2:30,19206,Dec-1964
204,12/17/1964,2:45,19108,Dec-1964
205,12/17/1964,3:00,19017,Dec-1964
206,12/17/1964,3:15,18940,Dec-1964
207,12/17/1964,3:30,18880,Dec-1964
208,12/17/1964,3:45,18840,Dec-1964
209,12/17/1964,4:00,18819,Dec-1964
210,12/17/1964,4:15,18818,Dec-1964
211,12/17/1964,4:30,18837,Dec-1964
212,12/17/1964,4:45,18876,Dec-1964
213,12/17/1964,5:00,18935,Dec-1964
214,12/17/1964,5:15,19018,Dec-1964
215,12/17/1964,5:30,19129,Dec-1964
216,12/17/1964,5:45,19275,Dec-1964
217,12/17/1964,6:00,19457,Dec-1964
218,12/17/1964,6:15,19672,Dec-1964
219,12/17/1964,6:30,19912,Dec-1964
220,12/17/1964,6:45,20171,Dec-1964
221,12/17/1964,7:00,20444,Dec-1964
222,12/17/1964,7:15,20727,Dec-1964
223,12/17/1964,7:30,21017,Dec-1964
224,12/17/1964,7:45,21311,Dec-1964
225,12/17/1964,8:00,21609,Dec-1964
226,12/17/1964,8:15,21907,Dec-1964
227,12/17/1964,8:30,22200,Dec-1964
228,12/17/1964,8:45,22487,Dec-1964
229,12/17/1964,9:00,22768,Dec-1964
230,12/17/1964,9:15,23046,Dec-1964
231,12/17/1964,9:30,23321,Dec-1964
232,12/17/1964,9:45,23593,Dec-1964
233,12/17/1964,10:00,23860,Dec-1964
234,12/17/1964,10:15,24119,Dec-1964
235,12/17/1964,10:30,24368,Dec-1964
236,12/17/1964,10:45,24606,Dec-1964
237,12/17/1964,11:00,24834,Dec-1964
238,12/17/1964,11:15,25054,Dec-1964
239,12/17/1964,11:30,25268,Dec-1964
240,12/17/1964,11:45,25478,Dec-1964
241,12/17/1964,12:00,25684,Dec-1964
242,12/17/1964,12:15,25885,Dec-1964
243,12/17/1964,12:30,26082,Dec-1964
