Ordinate,Stage_FT,Storage_ACFT,Discharge_CFS,Model
38,1676.40,168000.00,28049.00,CGR_MaxCapacity
39,1677.40,169100.00,29687.00,CGR_MaxCapacity
40,1678.40,170200.00,31472.00,CGR_MaxCapacity
41,1679.40,171400.00,33260.00,CGR_MaxCapacity
42,1680.40,172500.00,35087.00,CGR_MaxCapacity
43,1681.40,173700.00,36914.00,CGR_MaxCapacity
44,1682.40,174800.00,38840.00,CGR_MaxCapacity
45,1683.40,176000.00,40768.00,CGR_MaxCapacity
46,1684.40,177100.00,42891.00,CGR_MaxCapacity
47,1685.40,178300.00,45019.00,CGR_MaxCapacity
48,1686.40,179500.00,47147.00,CGR_MaxCapacity
49,1687.40,180600.00,49274.00,CGR_MaxCapacity
50,1688.40,181800.00,51402.00,CGR_MaxCapacity
51,1689.40,183000.00,53530.00,CGR_MaxCapacity
52,1690.40,184200.00,55756.00,CGR_MaxCapacity
53,1691.40,185400.00,57983.00,CGR_MaxCapacity
54,1692.40,186600.00,60309.00,CGR_MaxCapacity
55,1693.40,187800.00,62637.00,CGR_MaxCapacity
56,1694.40,189000.00,64964.00,CGR_MaxCapacity
