site_name,GEV_xi,GEV_alpha,GEV_kappa,ERL,Mean_UL_resid,Mean_Exp_resid,Mean_UL_PerDiff,Mean_Exp_PerDiff,SSE_UL,SSE_Exp,MSE_UL,MSE_Exp,RMSE_UL,RMSE_Exp
Hills Creek,5.004052792475591,1.0215262843851391,-0.07124781363031471,273,0.2743457112389862,0.015983369195889274,-0.016103744744710418,-0.06784098453425198,95.75951269727021,285.74318919083146,0.0781710307732818,0.23325974627822976,0.2795908274126349,0.48296971569471076
Hills Creek,5.004052792475591,1.0215262843851391,-0.07124781363031471,169,0.197751506483554,0.02171942601042165,-0.05935577463731684,-0.09782625810340909,468.35407610138554,612.1417320541804,0.38232985804194736,0.4997075363707595,0.6183282769224996,0.7068999479210333
Hills Creek,5.004052792475591,1.0215262843851391,-0.07124781363031471,80,0.030790495647122995,0.024578776005077962,-0.20882953322179443,-0.20993569717800104,4284.216050269082,2868.823781989102,3.4973192247094547,2.3418969648890626,1.8701120888089715,1.5303257708373934
Lookout Point,5.363190774063696,1.0121423354860113,-0.06452836480586302,345,3.494087434782138,0.01769851354952845,0.044046980479837856,-0.04880503134473387,49.588064647284945,139.63024438422886,0.040480052773293834,0.11398387296671744,0.201196552587995,0.33761497740283597
Lookout Point,5.363190774063696,1.0121423354860113,-0.06452836480586302,343,2.4723735198089116,0.02073592797289514,0.036200476760392515,-0.052851235302157705,25.21591947885764,161.82199471495642,0.020584424064373583,0.1320995875224134,0.14347272934036484,0.36345506946858425
Lookout Point,5.363190774063696,1.0121423354860113,-0.06452836480586302,329,2.4343592789953235,0.01779108084297487,0.0374028249355606,-0.05383306163910085,28.361345317247007,172.7577185527439,0.02315211862632409,0.14102670902264808,0.15215820262583313,0.3755352300685624
Lookout Point,5.363190774063696,1.0121423354860113,-0.06452836480586302,299,2.066966516864163,0.02060092192499141,0.03183368773533113,-0.056043411677626546,17.977364312580878,181.41196843856966,0.014675399438841533,0.14809140280699565,0.12114206304517657,0.38482645803919935
Lookout Point,5.363190774063696,1.0121423354860113,-0.06452836480586302,262,0.573611562515735,0.017057992657633747,0.016872174929665626,-0.06982198094373394,4.075535637509106,289.27429337683793,0.0033269678673543725,0.2361422803076228,0.05767987402339201,0.485944729683966
Lookout Point,5.363190774063696,1.0121423354860113,-0.06452836480586302,139,0.20109562453625784,0.025872705271206442,-0.04105455179016235,-0.11595085863101627,293.0437295292545,844.2381475586118,0.2392193710442894,0.68917399800703,0.48910057354729136,0.8301650426313012
Lookout Point,5.363190774063696,1.0121423354860113,-0.06452836480586302,80,0.07406145753397553,0.021033216320720527,-0.1606827722175797,-0.2018478181275709,2791.8237059124963,2479.5816693952656,2.2790397599285686,2.0241483015471555,1.5096488863071997,1.4227256592706674
