Date,Elev_NGVD29,Project,
10/13/1970,1509.7,Cougar,1514.08
10/14/1970,1509,Cougar,1513.38
10/15/1970,1508.4,Cougar,1512.78
10/16/1970,1507.8,Cougar,1512.18
10/17/1970,1507.2,Cougar,1511.58
10/18/1970,1506.7,Cougar,1511.08
10/19/1970,1505.8,Cougar,1510.18
10/20/1970,1505.7,Cougar,1510.08
10/21/1970,1505.8,Cougar,1510.18
10/22/1970,1505.9,Cougar,1510.28
10/23/1970,1508.7,Cougar,1513.08
10/24/1970,1511,Cougar,1515.38
10/25/1970,1512.3,Cougar,1516.68
10/26/1970,1513,Cougar,1517.38
10/27/1970,1513.4,Cougar,1517.78
10/28/1970,1513.7,Cougar,1518.08
10/29/1970,1514,Cougar,1518.38
10/30/1970,1514.2,Cougar,1518.58
10/31/1970,1514.6,Cougar,1518.98
11/1/1970,1514.9,Cougar,1519.28
11/2/1970,1515.1,Cougar,1519.48
11/3/1970,1515.3,Cougar,1519.68
11/4/1970,1515.4,Cougar,1519.78
11/5/1970,1515.8,Cougar,1520.18
11/6/1970,1516.1,Cougar,1520.48
11/7/1970,1516.4,Cougar,1520.78
11/8/1970,1516.6,Cougar,1520.98
11/9/1970,1514.7,Cougar,1519.08
11/10/1970,1512.7,Cougar,1517.08
11/11/1970,1510.8,Cougar,1515.18
11/12/1970,1510.6,Cougar,1514.98
11/13/1970,1507.4,Cougar,1511.78
11/14/1970,1505,Cougar,1509.38
11/15/1970,1505,Cougar,1509.38
11/16/1970,1505,Cougar,1509.38
11/17/1970,1505,Cougar,1509.38
11/18/1970,1505,Cougar,1509.38
11/19/1970,1505,Cougar,1509.38
11/20/1970,1505,Cougar,1509.38
11/21/1970,1505,Cougar,1509.38
11/22/1970,1505,Cougar,1509.38
11/23/1970,1510.9,Cougar,1515.28
11/24/1970,1533.5,Cougar,1537.88
11/25/1970,1541.4,Cougar,1545.78
11/26/1970,1543,Cougar,1547.38
11/27/1970,1544.9,Cougar,1549.28
11/28/1970,1545,Cougar,1549.38
11/29/1970,1543.9,Cougar,1548.28
11/30/1970,1542.8,Cougar,1547.18
12/1/1970,1541.4,Cougar,1545.78
12/2/1970,1540,Cougar,1544.38
12/3/1970,1538.8,Cougar,1543.18
12/4/1970,1537.5,Cougar,1541.88
12/5/1970,1536.4,Cougar,1540.78
12/6/1970,1536.5,Cougar,1540.88
12/7/1970,1539,Cougar,1543.38
12/8/1970,1540.5,Cougar,1544.88
12/9/1970,1540.6,Cougar,1544.98
12/10/1970,1540.2,Cougar,1544.58
12/11/1970,1540.3,Cougar,1544.68
12/12/1970,1539.7,Cougar,1544.08
12/13/1970,1538.7,Cougar,1543.08
12/14/1970,1537.8,Cougar,1542.18
12/15/1970,1537.2,Cougar,1541.58
12/16/1970,1537.2,Cougar,1541.58
12/17/1970,1536.4,Cougar,1540.78
12/18/1970,1534.9,Cougar,1539.28
12/19/1970,1533,Cougar,1537.38
12/20/1970,1532,Cougar,1536.38
12/21/1970,1531.7,Cougar,1536.08
12/22/1970,1531.4,Cougar,1535.78
12/23/1970,1530.9,Cougar,1535.28
12/24/1970,1530.5,Cougar,1534.88
12/25/1970,1529.9,Cougar,1534.28
12/26/1970,1529.3,Cougar,1533.68
12/27/1970,1528.7,Cougar,1533.08
12/28/1970,1529.5,Cougar,1533.88
12/29/1970,1530.4,Cougar,1534.78
