Cougar_3day_inflow,Sample_AEP
22112.65576,AEP = 0.001
23576.81613,AEP = 0.001
20110.18954,AEP = 0.001
17892.13659,AEP = 0.001
28990.03635,AEP = 0.001
20776.94813,AEP = 0.001
28428.73283,AEP = 0.001
26887.49618,AEP = 0.001
20813.91709,AEP = 0.001
30676.27989,AEP = 0.001
22495.83157,AEP = 0.001
24831.14085,AEP = 0.001
18536.39297,AEP = 0.001
19427.15895,AEP = 0.001
20003.35477,AEP = 0.001
23670.55958,AEP = 0.001
16585.34073,AEP = 0.001
28274.94171,AEP = 0.001
19526.3926,AEP = 0.001
22207.75196,AEP = 0.001
24848.74023,AEP = 0.001
26322.50899,AEP = 0.001
18028.03282,AEP = 0.001
24238.68503,AEP = 0.001
27522.60441,AEP = 0.001
18095.44469,AEP = 0.001
22518.24998,AEP = 0.001
26662.24611,AEP = 0.001
22033.14293,AEP = 0.001
24637.83043,AEP = 0.001
20252.56987,AEP = 0.001
21600.2644,AEP = 0.001
19955.22841,AEP = 0.001
22065.18375,AEP = 0.001
23884.04034,AEP = 0.001
17938.91953,AEP = 0.001
21504.95571,AEP = 0.001
23879.01553,AEP = 0.001
16809.94822,AEP = 0.001
20484.24803,AEP = 0.001
24350.81861,AEP = 0.001
17886.13095,AEP = 0.001
25791.28545,AEP = 0.001
22207.08642,AEP = 0.001
27437.24752,AEP = 0.001
21064.1912,AEP = 0.001
17791.09359,AEP = 0.001
21422.96595,AEP = 0.001
16456.93145,AEP = 0.001
31367.53573,AEP = 0.001
25004.27877,AEP = 0.001
24506.38527,AEP = 0.001
24126.31402,AEP = 0.001
20339.17532,AEP = 0.001
20173.26985,AEP = 0.001
20258.03215,AEP = 0.001
23743.0581,AEP = 0.001
25397.77897,AEP = 0.001
28134.35277,AEP = 0.001
22246.36992,AEP = 0.001
15527.79292,AEP = 0.001
19288.84073,AEP = 0.001
23325.10325,AEP = 0.001
26952.74533,AEP = 0.001
27747.19016,AEP = 0.001
23210.2856,AEP = 0.001
21913.8457,AEP = 0.001
20473.13219,AEP = 0.001
23873.82839,AEP = 0.001
19517.95301,AEP = 0.001
25775.24268,AEP = 0.001
28077.09077,AEP = 0.001
21327.75482,AEP = 0.001
21605.59267,AEP = 0.001
16670.54508,AEP = 0.001
28365.53189,AEP = 0.001
29545.27817,AEP = 0.001
25932.09887,AEP = 0.001
21866.95891,AEP = 0.001
24656.24376,AEP = 0.001
19227.56723,AEP = 0.001
23703.06576,AEP = 0.001
23478.48387,AEP = 0.001
22843.11877,AEP = 0.001
17454.58508,AEP = 0.001
14921.6058,AEP = 0.001
19663.70874,AEP = 0.001
20185.06256,AEP = 0.001
22847.52919,AEP = 0.001
16658.25279,AEP = 0.001
20139.56298,AEP = 0.001
28468.56106,AEP = 0.001
23371.86299,AEP = 0.001
15925.47925,AEP = 0.001
22788.30264,AEP = 0.001
15197.51914,AEP = 0.001
19300.3339,AEP = 0.001
27638.50734,AEP = 0.001
22678.80631,AEP = 0.001
15914.75639,AEP = 0.001
29863.09036,AEP = 0.001
24074.62626,AEP = 0.001
19500.09956,AEP = 0.001
22757.96435,AEP = 0.001
22061.59032,AEP = 0.001
21164.56114,AEP = 0.001
21818.37681,AEP = 0.001
25189.81996,AEP = 0.001
26809.89964,AEP = 0.001
16466.53064,AEP = 0.001
19952.18107,AEP = 0.001
23692.12904,AEP = 0.001
21427.86931,AEP = 0.001
17285.90647,AEP = 0.001
20553.80698,AEP = 0.001
23127.38399,AEP = 0.001
18898.88665,AEP = 0.001
18391.68306,AEP = 0.001
18955.88521,AEP = 0.001
30484.44966,AEP = 0.001
22501.64657,AEP = 0.001
18925.10578,AEP = 0.001
18676.01272,AEP = 0.001
24607.94071,AEP = 0.001
13606.49604,AEP = 0.001
27385.97572,AEP = 0.001
25444.80989,AEP = 0.001
17901.75405,AEP = 0.001
22401.63781,AEP = 0.001
24681.61935,AEP = 0.001
