Reservoir,Elev,Stor
Foster,641.0,60800.0
Foster,642.0,62100.0
Foster,643.0,63400.0
Foster,644.0,64700.0
Foster,645.0,66000.0
Foster,646.0,67400.0
Foster,647.0,68800.0
Foster,648.0,70200.0
Foster,649.0,71600.0
Foster,650.0,73100.0
Green Peter,700.0,0.0
Green Peter,701.0,25.0
Green Peter,702.0,50.0
Green Peter,703.0,75.0
Green Peter,704.0,100.0
Green Peter,705.0,125.0
Green Peter,706.0,150.0
Green Peter,707.0,175.0
Green Peter,708.0,200.0
Green Peter,709.0,225.0
Green Peter,710.0,250.0
Green Peter,711.0,275.0
Green Peter,712.0,300.0
Green Peter,713.0,325.0
Green Peter,714.0,350.0
Green Peter,715.0,375.0
Green Peter,716.0,400.0
Green Peter,717.0,425.0
Green Peter,718.0,450.0
Green Peter,719.0,475.0
Green Peter,720.0,500.0
Green Peter,721.0,525.0
Green Peter,722.0,550.0
Green Peter,723.0,575.0
Green Peter,724.0,600.0
Green Peter,725.0,625.0
Green Peter,726.0,650.0
Green Peter,727.0,675.0
Green Peter,728.0,700.0
Green Peter,729.0,725.0
Green Peter,730.0,750.0
Green Peter,731.0,775.0
Green Peter,732.0,800.0
Green Peter,733.0,825.0
Green Peter,734.0,850.0
Green Peter,735.0,875.0
Green Peter,736.0,900.0
Green Peter,737.0,925.0
Green Peter,738.0,950.0
Green Peter,739.0,975.0
Green Peter,740.0,1000.0
Green Peter,741.0,1025.0
Green Peter,742.0,1050.0
Green Peter,743.0,1075.0
Green Peter,744.0,1100.0
Green Peter,745.0,1125.0
Green Peter,746.0,1150.0
Green Peter,747.0,1175.0
Green Peter,748.0,1200.0
Green Peter,749.0,1225.0
Green Peter,750.0,1250.0
Green Peter,751.0,1275.0
Green Peter,752.0,1300.0
Green Peter,753.0,1325.0
Green Peter,754.0,1350.0
Green Peter,755.0,1375.0
Green Peter,756.0,1400.0
Green Peter,757.0,1425.0
Green Peter,758.0,1450.0
Green Peter,759.0,1475.0
Green Peter,760.0,1500.0
Green Peter,761.0,1600.0
Green Peter,762.0,1700.0
Green Peter,763.0,1800.0
Green Peter,764.0,1900.0
Green Peter,765.0,2000.0
Green Peter,766.0,2100.0
Green Peter,767.0,2200.0
Green Peter,768.0,2300.0
Green Peter,769.0,2400.0
Green Peter,770.0,2500.0
Green Peter,771.0,2700.0
Green Peter,772.0,2900.0
Green Peter,773.0,3100.0
Green Peter,774.0,3300.0
Green Peter,775.0,3500.0
Green Peter,776.0,3700.0
Green Peter,777.0,3900.0
Green Peter,778.0,4100.0
Green Peter,779.0,4300.0
Green Peter,780.0,4500.0
Green Peter,781.0,4800.0
Green Peter,782.0,5100.0
Green Peter,783.0,5400.0
Green Peter,784.0,5700.0
Green Peter,785.0,6000.0
Green Peter,786.0,6300.0
Green Peter,787.0,6600.0
Green Peter,788.0,6900.0
Green Peter,789.0,7200.0
Green Peter,790.0,7500.0
Green Peter,791.0,7900.0
Green Peter,792.0,8300.0
Green Peter,793.0,8700.0
Green Peter,794.0,9100.0
Green Peter,795.0,9500.0
Green Peter,796.0,9900.0
Green Peter,797.0,10300.0
Green Peter,798.0,10700.0
Green Peter,799.0,11100.0
Green Peter,800.0,11500.0
Green Peter,801.0,12000.0
Green Peter,802.0,12500.0
Green Peter,803.0,13000.0
Green Peter,804.0,13500.0
Green Peter,805.0,14000.0
Green Peter,806.0,14500.0
Green Peter,807.0,15000.0
Green Peter,808.0,15500.0
Green Peter,809.0,16000.0
Green Peter,810.0,16500.0
Green Peter,811.0,17150.0
Green Peter,812.0,17800.0
Green Peter,813.0,18450.0
Green Peter,814.0,19100.0
Green Peter,815.0,19750.0
Green Peter,816.0,20400.0
Green Peter,817.0,21050.0
Green Peter,818.0,21700.0
Green Peter,819.0,22350.0
Green Peter,820.0,23000.0
Green Peter,821.0,23800.0
Green Peter,822.0,24600.0
Green Peter,823.0,25400.0
Green Peter,824.0,26200.0
Green Peter,825.0,27000.0
Green Peter,826.0,27800.0
Green Peter,827.0,28600.0
Green Peter,828.0,29400.0
Green Peter,829.0,30200.0
Green Peter,830.0,31000.0
Green Peter,831.0,31600.0
Green Peter,832.0,32500.0
Green Peter,833.0,33300.0
Green Peter,834.0,34200.0
Green Peter,835.0,35100.0
Green Peter,836.0,35900.0
Green Peter,837.0,36800.0
Green Peter,838.0,37800.0
Green Peter,839.0,38700.0
Green Peter,840.0,39600.0
Green Peter,841.0,40600.0
Green Peter,842.0,41600.0
Green Peter,843.0,42500.0
Green Peter,844.0,43500.0
Green Peter,845.0,44500.0
Green Peter,846.0,45500.0
Green Peter,847.0,46600.0
Green Peter,848.0,47600.0
Green Peter,849.0,48600.0
Green Peter,850.0,49700.0
Green Peter,851.0,50700.0
Green Peter,852.0,51800.0
Green Peter,853.0,52900.0
Green Peter,854.0,54000.0
Green Peter,855.0,55100.0
Green Peter,856.0,56300.0
Green Peter,857.0,57400.0
Green Peter,858.0,58500.0
Green Peter,859.0,59700.0
Green Peter,860.0,60900.0
Green Peter,861.0,62100.0
Green Peter,862.0,63300.0
Green Peter,863.0,64500.0
Green Peter,864.0,65700.0
Green Peter,865.0,66900.0
Green Peter,866.0,68200.0
Green Peter,867.0,69400.0
Green Peter,868.0,70700.0
Green Peter,869.0,72000.0
Green Peter,870.0,73300.0
Green Peter,871.0,74600.0
Green Peter,872.0,75900.0
Green Peter,873.0,77200.0
Green Peter,874.0,78600.0
Green Peter,875.0,79900.0
Green Peter,876.0,81300.0
Green Peter,877.0,82700.0
Green Peter,878.0,84100.0
Green Peter,879.0,85500.0
Green Peter,880.0,86900.0
Green Peter,881.0,88400.0
Green Peter,882.0,89800.0
Green Peter,883.0,91300.0
Green Peter,884.0,92700.0
Green Peter,885.0,94200.0
Green Peter,886.0,95700.0
Green Peter,887.0,97300.0
Green Peter,888.0,98800.0
Green Peter,889.0,100300.0
Green Peter,890.0,101900.0
Green Peter,891.0,103500.0
Green Peter,892.0,105000.0
Green Peter,893.0,106600.0
Green Peter,894.0,108300.0
Green Peter,895.0,109900.0
Green Peter,896.0,111500.0
Green Peter,897.0,113200.0
Green Peter,898.0,114900.0
Green Peter,899.0,116600.0
Green Peter,900.0,118300.0
Green Peter,901.0,120000.0
Green Peter,902.0,121700.0
Green Peter,903.0,123500.0
Green Peter,904.0,125300.0
Green Peter,905.0,127000.0
Green Peter,906.0,128800.0
Green Peter,907.0,130700.0
Green Peter,908.0,132500.0
Green Peter,909.0,134300.0
Green Peter,910.0,136200.0
Green Peter,911.0,138100.0
Green Peter,912.0,140000.0
Green Peter,913.0,141900.0
Green Peter,914.0,143800.0
Green Peter,915.0,145800.0
Green Peter,916.0,147700.0
Green Peter,917.0,149700.0
Green Peter,918.0,151700.0
Green Peter,919.0,153700.0
Green Peter,920.0,155700.0
Green Peter,921.0,157800.0
Green Peter,922.0,159900.0
Green Peter,923.0,161900.0
Green Peter,924.0,164000.0
Green Peter,925.0,166100.0
Green Peter,926.0,168300.0
Green Peter,927.0,170400.0
Green Peter,928.0,172600.0
Green Peter,929.0,174800.0
Green Peter,930.0,177000.0
Green Peter,931.0,179200.0
Green Peter,932.0,181400.0
Green Peter,933.0,183700.0
Green Peter,934.0,185900.0
Green Peter,935.0,188200.0
Green Peter,936.0,190500.0
Green Peter,937.0,192800.0
Green Peter,938.0,195200.0
Green Peter,939.0,197500.0
Green Peter,940.0,199900.0
Green Peter,941.0,202300.0
Green Peter,942.0,204700.0
Green Peter,943.0,207100.0
Green Peter,944.0,209500.0
Green Peter,945.0,212000.0
Green Peter,946.0,214500.0
Green Peter,947.0,217000.0
Green Peter,948.0,219500.0
Green Peter,949.0,222000.0
Green Peter,950.0,224600.0
Green Peter,951.0,227100.0
Green Peter,952.0,229700.0
Green Peter,953.0,232300.0
Green Peter,954.0,235000.0
Green Peter,955.0,237600.0
Green Peter,956.0,240300.0
Green Peter,957.0,243000.0
Green Peter,958.0,245700.0
Green Peter,959.0,248400.0
Green Peter,960.0,251100.0
Green Peter,961.0,253900.0
Green Peter,962.0,256700.0
Green Peter,963.0,259500.0
Green Peter,964.0,262300.0
Green Peter,965.0,265100.0
Green Peter,966.0,268000.0
Green Peter,967.0,270800.0
Green Peter,968.0,273700.0
Green Peter,969.0,276600.0
Green Peter,970.0,279600.0
Green Peter,971.0,282500.0
Green Peter,972.0,285500.0
Green Peter,973.0,288500.0
Green Peter,974.0,291500.0
Green Peter,975.0,294500.0
Green Peter,976.0,297500.0
Green Peter,977.0,300500.0
Green Peter,978.0,303600.0
Green Peter,979.0,306700.0
Green Peter,980.0,309700.0
Green Peter,981.0,312800.0
Green Peter,982.0,316000.0
Green Peter,983.0,319100.0
Green Peter,984.0,322200.0
Green Peter,985.0,325400.0
Green Peter,986.0,328600.0
Green Peter,987.0,331800.0
Green Peter,988.0,335000.0
Green Peter,989.0,338200.0
Green Peter,990.0,341500.0
Green Peter,991.0,344700.0
Green Peter,992.0,348000.0
Green Peter,993.0,351300.0
Green Peter,994.0,354600.0
Green Peter,995.0,357900.0
Green Peter,996.0,361300.0
Green Peter,997.0,364600.0
Green Peter,998.0,368000.0
Green Peter,999.0,371400.0
Green Peter,1000.0,374800.0
Green Peter,1001.0,378200.0
Green Peter,1002.0,381600.0
Green Peter,1003.0,385100.0
Green Peter,1004.0,388600.0
Green Peter,1005.0,392100.0
Green Peter,1006.0,395600.0
Green Peter,1007.0,399100.0
Green Peter,1008.0,402700.0
Green Peter,1009.0,406200.0
Green Peter,1010.0,409800.0
Green Peter,1011.0,413400.0
Green Peter,1012.0,417100.0
Green Peter,1013.0,420700.0
Green Peter,1014.0,424400.0
Green Peter,1015.0,428100.0
Green Peter,1016.0,431800.0
Green Peter,1017.0,435600.0
Green Peter,1018.0,439300.0
Green Peter,1019.0,443100.0
Green Peter,1020.0,446900.0
Fern Ridge,347.0,0.0
Fern Ridge,348.0,13.0
Fern Ridge,349.0,182.0
Fern Ridge,350.0,605.0
Fern Ridge,351.0,1179.0
Fern Ridge,352.0,1901.0
Fern Ridge,353.0,2802.0
