Percent_Time_Exceedance,Elev_ft_88,Project,Operations
2.5663,"1,695.20",Cougar,Observed
2.5717,"1,695.20",Cougar,Observed
2.5771,"1,695.20",Cougar,Observed
2.5825,"1,695.20",Cougar,Observed
2.5879,"1,695.20",Cougar,Observed
2.5933,"1,695.20",Cougar,Observed
2.5987,"1,695.20",Cougar,Observed
2.6041,"1,695.20",Cougar,Observed
2.6095,"1,695.20",Cougar,Observed
2.6149,"1,695.20",Cougar,Observed
2.6203,"1,695.20",Cougar,Observed
2.6257,"1,695.20",Cougar,Observed
2.6312,"1,695.20",Cougar,Observed
2.6366,"1,695.20",Cougar,Observed
2.642,"1,695.20",Cougar,Observed
2.6474,"1,695.20",Cougar,Observed
2.6528,"1,695.20",Cougar,Observed
2.6582,"1,695.20",Cougar,Observed
2.6636,"1,695.20",Cougar,Observed
2.669,"1,695.20",Cougar,Observed
2.6744,"1,695.20",Cougar,Observed
2.6798,"1,695.20",Cougar,Observed
2.6852,"1,695.20",Cougar,Observed
2.6906,"1,695.20",Cougar,Observed
2.696,"1,695.20",Cougar,Observed
2.7014,"1,695.20",Cougar,Observed
2.7068,"1,695.20",Cougar,Observed
2.7122,"1,695.20",Cougar,Observed
2.7176,"1,695.20",Cougar,Observed
2.723,"1,695.20",Cougar,Observed
2.7284,"1,695.20",Cougar,Observed
2.7338,"1,695.20",Cougar,Observed
2.7392,"1,695.20",Cougar,Observed
2.7446,"1,695.20",Cougar,Observed
2.75,"1,695.20",Cougar,Observed
2.7554,"1,695.20",Cougar,Observed
2.7608,"1,695.20",Cougar,Observed
2.7662,"1,695.20",Cougar,Observed
2.7716,"1,695.20",Cougar,Observed
2.777,"1,695.20",Cougar,Observed
2.7824,"1,695.20",Cougar,Observed
2.7878,"1,695.20",Cougar,Observed
2.7932,"1,695.20",Cougar,Observed
2.7986,"1,695.20",Cougar,Observed
2.804,"1,695.10",Cougar,Observed
2.8094,"1,695.10",Cougar,Observed
2.8148,"1,695.10",Cougar,Observed
2.8202,"1,695.10",Cougar,Observed
2.8257,"1,695.10",Cougar,Observed
2.8311,"1,695.10",Cougar,Observed
2.8365,"1,695.10",Cougar,Observed
2.8419,"1,695.10",Cougar,Observed
2.8473,"1,695.10",Cougar,Observed
2.8527,"1,695.10",Cougar,Observed
2.8581,"1,695.10",Cougar,Observed
2.8635,"1,695.10",Cougar,Observed
2.8689,"1,695.10",Cougar,Observed
2.8743,"1,695.10",Cougar,Observed
2.8797,"1,695.10",Cougar,Observed
2.8851,"1,695.10",Cougar,Observed
2.8905,"1,695.10",Cougar,Observed
2.8959,"1,695.10",Cougar,Observed
2.9013,"1,695.10",Cougar,Observed
2.9067,"1,695.10",Cougar,Observed
2.9121,"1,695.10",Cougar,Observed
2.9175,"1,695.10",Cougar,Observed
2.9229,"1,695.10",Cougar,Observed
2.9283,"1,695.10",Cougar,Observed
2.9337,"1,695.10",Cougar,Observed
2.9391,"1,695.10",Cougar,Observed
2.9445,"1,695.10",Cougar,Observed
2.9499,"1,695.10",Cougar,Observed
2.9553,"1,695.10",Cougar,Observed
2.9607,"1,695.10",Cougar,Observed
2.9661,"1,695.10",Cougar,Observed
2.9715,"1,695.10",Cougar,Observed
2.9769,"1,695.10",Cougar,Observed
2.9823,"1,695.10",Cougar,Observed
2.9877,"1,695.10",Cougar,Observed
2.9931,"1,695.10",Cougar,Observed
2.9985,"1,695.10",Cougar,Observed
3.0039,"1,695.10",Cougar,Observed
3.0093,"1,695.10",Cougar,Observed
3.0147,"1,695.10",Cougar,Observed
3.0202,"1,695.10",Cougar,Observed
3.0256,"1,695.10",Cougar,Observed
3.031,"1,695.10",Cougar,Observed
3.0364,"1,695.10",Cougar,Observed
3.0418,"1,695.10",Cougar,Observed
3.0472,"1,695.10",Cougar,Observed
3.0526,"1,695.10",Cougar,Observed
3.058,"1,695.10",Cougar,Observed
3.0634,"1,695.10",Cougar,Observed
3.0688,"1,695.10",Cougar,Observed
3.0742,"1,695.10",Cougar,Observed
3.0796,"1,695.10",Cougar,Observed
3.085,"1,695.10",Cougar,Observed
3.0904,"1,695.10",Cougar,Observed
3.0958,"1,695.10",Cougar,Observed
3.1012,"1,695.10",Cougar,Observed
3.1066,"1,695.10",Cougar,Observed
3.112,"1,695.10",Cougar,Observed
3.1174,"1,695.10",Cougar,Observed
3.1228,"1,695.10",Cougar,Observed
3.1282,"1,695.10",Cougar,Observed
3.1336,"1,695.10",Cougar,Observed
3.139,"1,695.10",Cougar,Observed
3.1444,"1,695.00",Cougar,Observed
3.1498,"1,695.00",Cougar,Observed
3.1552,"1,695.00",Cougar,Observed
3.1606,"1,695.00",Cougar,Observed
3.166,"1,695.00",Cougar,Observed
3.1714,"1,695.00",Cougar,Observed
3.1768,"1,695.00",Cougar,Observed
3.1822,"1,695.00",Cougar,Observed
3.1876,"1,695.00",Cougar,Observed
3.193,"1,695.00",Cougar,Observed
3.1984,"1,695.00",Cougar,Observed
3.2038,"1,695.00",Cougar,Observed
3.2092,"1,695.00",Cougar,Observed
3.2147,"1,695.00",Cougar,Observed
3.2201,"1,695.00",Cougar,Observed
3.2255,"1,695.00",Cougar,Observed
3.2309,"1,695.00",Cougar,Observed
3.2363,"1,695.00",Cougar,Observed
3.2417,"1,695.00",Cougar,Observed
3.2471,"1,695.00",Cougar,Observed
3.2525,"1,695.00",Cougar,Observed
